year,FBI_Code,Crime_Count
2023,9,185
2023,22,59
2023,16,41
2023,12,20
2023,13,17
2023,19,8
2024,6,22123
2024,08B,15541
2024,14,11173
2024,7,8799
2024,08A,7993
2024,26,7585
2024,11,4935
2024,3,3609
2024,15,3281
2024,04A,3083
2024,04B,3039
2024,5,2966
2024,18,2388
2024,17,642
2024,2,618
2024,24,612
2024,10,525
2024,20,288
2024,01A,200
2024,9,194
2024,16,94
2024,22,82
2024,13,24
2024,12,11
2024,19,7
