year,Location_Description,Crime_Count
2023,"OTHER (SPECIFY)",1417
2024,STREET,27001
2024,APARTMENT,19692
2024,RESIDENCE,11854
2024,SIDEWALK,4961
2024,"SMALL RETAIL STORE",3714
2024,"PARKING LOT / GARAGE (NON RESIDENTIAL)",3429
2024,RESTAURANT,2435
2024,ALLEY,2284
2024,"DEPARTMENT STORE",2184
2024,"OTHER (SPECIFY)",1580
