year,Lat,Lng,Crime_Count
2001,41.8767,-87.6899,61
2001,41.8038,-87.6212,61
2001,41.8521,-87.689,60
2001,41.8527,-87.6638,60
2001,41.9317,-87.743,60
2001,41.9652,-87.6502,60
2001,41.8966,-87.6393,59
2001,41.8976,-87.6243,59
2001,41.9107,-87.6712,59
2001,41.8736,-87.7055,59
2001,41.8095,-87.6457,58
2001,41.8167,-87.6337,58
2001,41.8288,-87.6132,58
2001,41.6864,-87.6423,58
2001,41.896,-87.6241,58
2001,41.8967,-87.6283,58
2001,41.8968,-87.6294,58
2001,41.9038,-87.632,58
2001,41.7572,-87.5584,58
2001,41.803,-87.722,57
2001,41.7826,-87.6547,57
2001,41.8297,-87.6267,57
2001,41.8812,-87.6743,57
2001,41.9073,-87.6395,57
2001,41.8895,-87.6204,57
2001,41.7362,-87.6256,57
2001,41.7804,-87.6218,56
2001,41.7953,-87.5878,56
2001,41.9026,-87.6869,56
2001,41.8507,-87.6272,56
2001,41.8418,-87.627,55
2001,41.8681,-87.6639,55
2001,41.8124,-87.7236,55
2001,41.8286,-87.6267,55
2001,41.9398,-87.7541,55
2001,41.904,-87.6316,55
2001,41.8926,-87.6243,54
2001,41.8297,-87.6146,54
2001,41.874,-87.673,54
2001,41.8769,-87.6278,54
2001,41.8493,-87.6287,54
2001,41.8501,-87.6272,54
2001,41.7538,-87.6018,54
2001,41.7831,-87.6836,54
2001,41.7691,-87.6256,54
2001,41.7805,-87.7181,53
2001,41.8504,-87.6272,53
2001,41.8311,-87.6307,53
2001,41.9386,-87.6494,53
2001,41.9466,-87.6911,53
2001,41.9402,-87.7246,52
2001,41.793,-87.7389,52
2001,41.8414,-87.6291,52
2001,41.8245,-87.6289,52
2001,41.8798,-87.7356,52
2001,41.8809,-87.7234,52
2001,41.8649,-87.6173,52
2001,41.8298,-87.6267,51
2001,41.9719,-87.6576,51
2001,41.8948,-87.7593,51
2001,41.901,-87.643,51
2001,41.8833,-87.6751,51
2001,41.7752,-87.6406,51
2001,41.6921,-87.6659,51
2001,41.9751,-87.6795,50
2001,41.8739,-87.7006,50
2001,41.766,-87.5764,50
2001,41.9012,-87.7191,50
2001,41.8956,-87.7067,50
2001,41.8833,-87.6738,49
2001,41.9355,-87.6687,49
2001,41.7074,-87.6032,49
2001,41.7792,-87.6157,49
2001,41.78,-87.6449,49
2001,41.7747,-87.742,49
2001,41.8038,-87.5904,49
2001,41.8164,-87.6264,49
2001,41.8286,-87.6146,49
2001,41.8298,-87.6122,49
2001,41.8483,-87.6271,49
2001,41.8075,-87.6429,49
2001,41.9736,-87.6548,48
2001,41.8881,-87.6294,48
2001,41.9062,-87.6699,48
2001,41.9089,-87.8056,48
2001,41.7056,-87.6011,48
2001,41.6881,-87.5376,48
2001,41.7353,-87.7035,47
2001,41.9394,-87.7101,47
2001,41.8088,-87.6457,47
2001,41.8267,-87.6068,47
2001,41.8444,-87.7026,47
2001,41.8668,-87.6257,47
2001,41.8813,-87.6681,47
2001,41.8822,-87.7633,47
2001,41.8945,-87.7262,47
2001,41.903,-87.6657,47
2001,41.9119,-87.7363,46
2001,41.8862,-87.7154,46
2001,41.895,-87.6244,46
2001,41.9689,-87.6763,46
2001,41.9308,-87.7883,46
2001,41.8807,-87.6271,46
2001,41.8092,-87.6319,46
2001,41.8765,-87.7551,46
2001,41.8642,-87.702,46
2001,41.853,-87.631,46
2001,41.7842,-87.6069,46
2001,41.7646,-87.561,45
2001,41.7589,-87.5617,45
2001,41.7739,-87.6445,45
2001,41.7362,-87.6243,45
2001,41.7059,-87.6538,45
2001,41.7253,-87.6237,45
2001,41.8308,-87.6146,45
2001,41.8789,-87.6397,45
2001,41.8821,-87.6304,45
2001,41.9464,-87.6465,45
2001,41.9387,-87.7678,44
2001,41.9398,-87.6533,44
2001,41.7581,-87.6242,44
2001,41.8996,-87.6387,44
2001,41.9001,-87.6399,44
2001,41.9032,-87.6434,44
2001,41.92,-87.7611,44
2001,41.8785,-87.708,44
2001,41.8092,-87.623,44
2001,41.868,-87.6273,44
2001,41.7562,-87.6551,44
2001,41.7184,-87.6207,43
2001,41.7483,-87.5749,43
2001,41.773,-87.6059,43
2001,41.7784,-87.6352,43
2001,41.9688,-87.655,43
2001,41.8486,-87.6271,43
2001,41.831,-87.6316,43
2001,41.8467,-87.6234,43
2001,41.9241,-87.7661,43
2001,41.9253,-87.6535,43
2001,41.8876,-87.6282,43
2001,41.8867,-87.6281,42
2001,41.9254,-87.6586,42
2001,41.9183,-87.646,42
2001,41.7656,-87.6268,42
2001,41.7693,-87.5741,42
2001,41.8017,-87.6163,42
2001,41.8046,-87.6245,42
2001,41.8293,-87.6066,42
2001,41.8744,-87.6585,42
2001,41.8753,-87.7122,42
2001,41.8145,-87.6068,42
2001,41.9876,-87.7024,42
2001,41.9649,-87.7148,41
2001,41.9428,-87.6884,41
2001,41.8932,-87.6325,41
2001,41.8858,-87.6323,41
2001,41.9024,-87.7461,41
2001,41.8635,-87.6422,41
2001,41.8744,-87.6278,41
2001,41.7678,-87.5858,41
2001,41.7778,-87.5865,41
2001,41.7802,-87.6158,41
2001,41.7822,-87.5867,41
2001,41.7834,-87.593,40
2001,41.7975,-87.6685,40
2001,41.7576,-87.5863,40
2001,41.9461,-87.7082,40
2001,41.989,-87.6653,40
2001,41.9908,-87.6818,40
2001,41.7078,-87.5809,40
2001,41.912,-87.7133,40
2001,41.9004,-87.6385,40
2001,41.8833,-87.6757,40
2001,41.8845,-87.6281,40
2001,41.8849,-87.676,40
2001,41.8949,-87.6207,40
2001,41.9186,-87.6901,39
2001,41.9339,-87.6446,39
2001,41.8015,-87.6452,39
2001,41.7512,-87.6054,39
2001,41.7517,-87.5594,39
2001,41.8709,-87.6999,39
2001,41.8399,-87.6289,39
2001,41.8805,-87.7561,39
2001,41.8511,-87.6188,39
2001,41.8408,-87.629,38
2001,41.881,-87.7209,38
2001,41.8668,-87.6646,38
2001,41.9335,-87.6456,38
2001,41.9396,-87.69,38
2001,41.903,-87.6835,38
